"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","128","0 1st Main Road, Devaraj URS Nagar, Padarayana Pura, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1026,689,1527
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","129","0 Chowdappa Road, Cobaley Colony, Azad Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1221,781,1908
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","130","100 5th Cross Road, Anjanappa Gardens, Cottonpete, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1213,749,1963
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","131","0 2nd Main Road, New Tharagupet, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",850,541,1334
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","132","100 7th Cross Road, Chamrajpet, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",975,644,1475
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","133","165, Vittal Nagar, Kasthuriba Nagar, Azad Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1062,714,1578
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","134","3rd Cross Road, Sampangi Rama Nagar, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",556,303,1020
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","135","59, Kalasipalyam New Extension, Kalasipalya, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",630,375,1055
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","136","Vaibhav Apartments, Gandhi Bazaar Main Road, Gandhi Bazaar, Basavanagudi, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",1319,899,1933
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","137","0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",923,589,1444
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","138","Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",961,622,1484
"89","0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru","139","0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru","1/1/2018 - 1/31/2018, Every day, Daily Average",685,415,1128
