sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
110,50,4,946.08,312.14,899.4,1.37
110,50,9,1446.63,382.17,1403.24,1.27
110,50,14,1413.75,439.21,1365.33,1.28
110,50,19,1713,437.95,1661.58,1.28
110,51,8,1364.08,291.92,1331.77,1.25
110,51,13,1339.07,267.79,1313.14,1.22
110,51,18,1857.93,610.47,1784.45,1.31
110,51,23,1011.66,408.47,946.32,1.42
110,52,7,1697.92,670.77,1630.62,1.28
110,52,12,2086.15,352.93,2058.88,1.17
110,52,17,2454.05,735.4,2351.71,1.34
110,52,22,1835.21,452.79,1781.96,1.27
110,53,6,1859.17,787.48,1723.68,1.45
110,53,11,2195,487.25,2145.12,1.24
110,53,16,2256.94,755.26,2150.16,1.36
110,53,21,1891.53,357.73,1858.1,1.21
110,54,0,1711.6,493.74,1644.12,1.33
110,54,5,1596.05,394.9,1549.61,1.27
110,54,10,2381.98,453.84,2339.92,1.21
110,54,15,2394.05,443.73,2353.51,1.2
110,54,20,2341.87,542.61,2282.27,1.26
110,55,4,1507.32,287.4,1480.82,1.21
110,55,9,2426.64,489.55,2382.04,1.21
110,55,14,2289.42,504.46,2245.09,1.21
110,55,19,2762.19,570.02,2705.78,1.22
110,58,1,1536.2,285.69,1510.05,1.2
110,58,6,1508.43,279.86,1484.19,1.19
110,58,11,2391.39,350.03,2366.39,1.16
110,58,16,2263.8,460.73,2220.21,1.21
110,58,21,2015.15,451.89,1971.02,1.23
110,59,10,2847.2,452.22,2812.25,1.17
110,59,15,2568.62,455.23,2529.18,1.19
110,59,20,2348.73,418.4,2314.63,1.18
110,61,12,2659.29,445.22,2622.43,1.18
110,61,17,3017.71,477.31,2983.74,1.16
110,64,9,2942.36,546.78,2894.85,1.19
110,64,14,2508,478.07,2467.09,1.19
110,64,19,2805,620.75,2740.21,1.24
110,66,7,1849,462.59,1793.61,1.28
110,66,12,2554.27,479.49,2513.29,1.19
110,66,17,2617.06,706.46,2537.45,1.27
110,66,22,1938.87,741.25,1824.05,1.4
110,67,11,3347.88,543.07,3305.16,1.17
110,68,0,2386.71,617.91,2303.4,1.31
110,68,10,3391.44,805.76,3301.43,1.26
110,68,15,3103.75,666.71,3037.03,1.23
110,68,20,3083.27,544.89,3034.95,1.2
110,69,9,3671.33,747.54,3595,1.23
110,69,14,3169,442.69,3138.46,1.15
110,69,19,4182,827.93,4102.18,1.22
110,70,7,2259.56,257.86,2244.85,1.12
110,70,12,3022.75,435.81,2992.64,1.15
110,70,17,3210.17,528.89,3167.38,1.18
110,70,22,2118.27,391.38,2082.38,1.2
110,71,11,3287.86,462.62,3255.32,1.15
110,71,16,3042,499.71,3003.9,1.17
110,71,21,2849.13,420.26,2819.06,1.16
110,73,14,2999.83,593.18,2940.98,1.22
110,74,8,2742.16,515.63,2701.44,1.18
110,74,13,2765.69,350.84,2744.43,1.13
110,74,18,3098.2,565.5,3046.5,1.2
110,75,7,2909.5,459.57,2874.12,1.17
110,75,12,3701.8,768.21,3623.35,1.23
110,75,17,3787.72,776.58,3710.97,1.22
110,75,22,2260.28,373.49,2230.61,1.18
110,76,6,2154.69,323.24,2130.94,1.16
110,76,11,3466.45,435.95,3439.1,1.13
110,76,16,3731.5,1449.95,3521.66,1.38
110,76,21,2895.71,482.19,2858.68,1.17
